Gene_somatic	Pathway	Type	Pathway_abb	Gene_germline
APEX1	base excision repair	core	BER	APC
FEN1	base excision repair	core	BER	BMPR1A
LIG1	base excision repair	core	BER	SMAD4
LIG3	base excision repair	core	BER	BRCA1
MBD4	base excision repair	core	BER	BRCA2
MPG	base excision repair	core	BER	CDKN2A
MUTYH	base excision repair	core	BER	FLCN
NEIL1	base excision repair	core	BER	MEN1
NEIL2	base excision repair	core	BER	MLH1
NEIL3	base excision repair	core	BER	MSH2
NTHL1	base excision repair	core	BER	MSH6
OGG1	base excision repair	core	BER	PMS2
PNKP	base excision repair	core	BER	MUTYH
POLB	base excision repair	core	BER	TP53
SMUG1	base excision repair	core	BER	PTEN
TDG	base excision repair	core	BER	SDHB
UNG	base excision repair	core	BER	SDHD
XRCC1	base excision repair	core	BER	SDHC
ATM	cell cycle regulation	core	CCR	STK11
ATR	cell cycle regulation	core	CCR	TERT
ATRIP	cell cycle regulation	core	CCR	VHL
CDC25A	cell cycle regulation	core	CCR	RET
CDC25B	cell cycle regulation	core	CCR	SDHAF2
CDC25C	cell cycle regulation	core	CCR	PRKAR1A
CDK1	cell cycle regulation	core	CCR	TMEM127
CDKN1A	cell cycle regulation	core	CCR	MAX
CHEK1	cell cycle regulation	core	CCR	CHEK2
CHEK2	cell cycle regulation	core	CCR	BAP1
HUS1	cell cycle regulation	accessory	CCR	FH
MRE11A	cell cycle regulation	accessory	CCR	SMARCB1
NBN	cell cycle regulation	accessory	CCR	CDH1
RAD1	cell cycle regulation	accessory	CCR	CDC73
RAD17	cell cycle regulation	accessory	CCR	GATA2
RAD50	cell cycle regulation	accessory	CCR	CDKN1B
RAD9A	cell cycle regulation	accessory	CCR	ATM
RAD9B	cell cycle regulation	accessory	CCR	DKC1
RFC2	cell cycle regulation	accessory	CCR	EPCAM
RFC3	cell cycle regulation	accessory	CCR	KIT
RFC4	cell cycle regulation	accessory	CCR	MET
RFC5	cell cycle regulation	accessory	CCR	PDGFRA
RPA1	cell cycle regulation	accessory	CCR	PTCH1
RPA2	cell cycle regulation	accessory	CCR	TERC
